cache_key,label_name,confidence,prob_negative,prob_neutral,prob_positive
541ddb897cb5e03e,negative,0.9923,0.9923,0.0056,0.0021
266445001edd540f,positive,0.9911,0.0041,0.0048,0.9911
437d2d935dcfce85,positive,0.9828,0.0029,0.0143,0.9828
aeff0ee91b4714a9,positive,0.9772,0.0035,0.0193,0.9772
d8280c241b0e0c0d,positive,0.9926,0.0037,0.0037,0.9926
46bc805407e1a4a2,negative,0.9936,0.9936,0.0038,0.0026
ecd096765ac35c77,negative,0.9915,0.9915,0.006,0.0026
c62ae7778919beba,positive,0.9906,0.0044,0.0049,0.9906
fd268653056b2faa,negative,0.9934,0.9934,0.0034,0.0032
fbc1d893de172732,negative,0.9914,0.9914,0.006,0.0026
15b805e852c73f20,negative,0.9933,0.9933,0.0041,0.0026
be6890db0e348659,positive,0.9723,0.0021,0.0255,0.9723
0db758fbba9cacf7,negative,0.9938,0.9938,0.0043,0.0018
350242460c7efa07,negative,0.9937,0.9937,0.0037,0.0026
721a3629ce9e7bea,negative,0.9914,0.9914,0.0061,0.0025
6be83abdb4e954ea,positive,0.9905,0.0042,0.0053,0.9905
741e176bad75a7a3,negative,0.994,0.994,0.0039,0.0021
c853266f96b70e3d,negative,0.9937,0.9937,0.0041,0.0021
4728f04c1c5510d6,negative,0.9883,0.9883,0.0073,0.0044
66c8896a16b8069b,positive,0.9903,0.0033,0.0064,0.9903
94a91ec4e3a4493e,positive,0.9857,0.0032,0.0112,0.9857
c60bbdaca6be6084,negative,0.9911,0.9911,0.0063,0.0026
69a9fd8184bf18e7,positive,0.9915,0.004,0.0045,0.9915
0965ba85340fe299,negative,0.9936,0.9936,0.0039,0.0025
6ec675804d1e5240,positive,0.9928,0.0039,0.0033,0.9928
ca4c455a2a665212,negative,0.9944,0.9944,0.0038,0.0018
121f5bca316e2494,negative,0.9943,0.9943,0.0038,0.0019
f64ecd51dc7ac09f,positive,0.9915,0.0033,0.0052,0.9915
d1419075733a1ca0,negative,0.9898,0.9898,0.0075,0.0027
5810627e963c15b0,positive,0.9905,0.0047,0.0048,0.9905
5744bb24238e3a50,positive,0.9927,0.0032,0.0042,0.9927
1dcfeaaf194e8f6d,positive,0.9902,0.0034,0.0064,0.9902
36b20f876b468e8c,positive,0.9917,0.0035,0.0048,0.9917
cc069f5e9b8d952e,negative,0.9936,0.9936,0.0038,0.0026
47415191218b2e2d,positive,0.99,0.0038,0.0063,0.99
0625cb2a534ceaf9,positive,0.9794,0.0032,0.0173,0.9794
fefa0bcdf18b3dc3,positive,0.981,0.0035,0.0155,0.981
bdfad7de6f6535ac,negative,0.9932,0.9932,0.0046,0.0022
bfc311953ae01df8,negative,0.9936,0.9936,0.0042,0.0022
35f9638ebc01cf4c,negative,0.9943,0.9943,0.0039,0.0018
92e39e4e66606b07,positive,0.976,0.0024,0.0216,0.976
b88491a1dc004c25,negative,0.9856,0.9856,0.0103,0.0041
faf2b7582ec7e2c7,positive,0.9666,0.0023,0.0311,0.9666
64c3b1a96b060832,negative,0.9945,0.9945,0.0037,0.0018
f7df1ab886fefee9,positive,0.9685,0.0027,0.0289,0.9685
755b5d91e2e0a022,negative,0.9939,0.9939,0.0037,0.0025
aaf4851d2aeacf41,negative,0.9932,0.9932,0.0039,0.0028
3ba6f2f6596b9a6c,negative,0.9921,0.9921,0.0051,0.0027
12a1f97335ca1a2b,negative,0.9935,0.9935,0.0038,0.0027
9bbbb032deb9f55f,negative,0.993,0.993,0.0037,0.0034
8ae0583c70034744,positive,0.969,0.0021,0.0289,0.969
3098994f69f1f3fc,negative,0.9937,0.9937,0.0037,0.0025
f495032cc74e7040,positive,0.9794,0.0027,0.0179,0.9794
164a6d9907f3610f,positive,0.9928,0.0034,0.0038,0.9928
87668e7eb15c0791,negative,0.9936,0.9936,0.0041,0.0023
c2ee480355f3606b,positive,0.9785,0.0024,0.0191,0.9785
0f51641e48cc0cb9,negative,0.9906,0.9906,0.0061,0.0032
0cd4967e1369dd65,negative,0.9873,0.9873,0.0086,0.0041
2d31b531bbe490f5,negative,0.9883,0.9883,0.0077,0.004
6c41bda2256f2420,negative,0.9936,0.9936,0.0033,0.0031
adfaa6c2f892ea2b,positive,0.989,0.0039,0.007,0.989
f4ec10b88c5d1dd0,positive,0.9926,0.0032,0.0042,0.9926
8658692eec8deb12,positive,0.9926,0.0034,0.004,0.9926
4632a128bc7063b4,positive,0.9651,0.0023,0.0326,0.9651
9a828cc50db2070e,positive,0.9921,0.0047,0.0032,0.9921
db77f7d242b2e9fd,negative,0.9942,0.9942,0.0037,0.0021
c8da26ed8669e0ea,positive,0.9927,0.0038,0.0035,0.9927
7d0190a92b87585f,positive,0.9907,0.0044,0.005,0.9907
07100e56498c7362,positive,0.9761,0.0029,0.021,0.9761
e2c09fb183e79b4c,positive,0.9916,0.0031,0.0054,0.9916
249ea73b4345124c,positive,0.9918,0.0053,0.0029,0.9918
de913f983c1c8780,positive,0.9928,0.0038,0.0034,0.9928
46ea04f46164d8d8,negative,0.988,0.988,0.0081,0.0039
9e6a1c365f9bf6c0,negative,0.9891,0.9891,0.0083,0.0026
345a630257d76f44,positive,0.99,0.0045,0.0055,0.99
5688b22eb61f79e3,positive,0.9777,0.0026,0.0197,0.9777
bcf740431f73a3dc,negative,0.9871,0.9871,0.009,0.0039
56f4def753ef1a09,positive,0.9911,0.0058,0.0031,0.9911
91b7e8e7439447f3,positive,0.9909,0.0045,0.0046,0.9909
0db2242694b7a842,negative,0.9935,0.9935,0.0043,0.0022
0d4447047f6f08de,positive,0.9927,0.003,0.0043,0.9927
e7ec79c393b59ed3,positive,0.9926,0.0044,0.003,0.9926
9beecd3bd9bea6e1,positive,0.9915,0.0046,0.0039,0.9915
55e3dfa072b08567,positive,0.9797,0.0028,0.0175,0.9797
10fa856a7d8528d5,negative,0.9923,0.9923,0.0054,0.0023
db42466e8c775510,positive,0.9919,0.0033,0.0048,0.9919
3f5431831b7c2c61,negative,0.9942,0.9942,0.0039,0.0018
eda8294b28410dfb,positive,0.9927,0.0033,0.004,0.9927
2c082200c401cea2,negative,0.9902,0.9902,0.007,0.0028
b1702defe709e0f2,positive,0.9913,0.0039,0.0048,0.9913
8868f321085b0d10,positive,0.9927,0.0041,0.0032,0.9927
d2124a130c496c87,negative,0.9944,0.9944,0.0038,0.0018
468de41512ed76fb,negative,0.9885,0.9885,0.0084,0.0031
0fc0e4151e4bef21,positive,0.993,0.0037,0.0032,0.993
4763e5b742ebf860,negative,0.9909,0.9909,0.0065,0.0026
1c8986fda0ecaa27,positive,0.9908,0.0034,0.0058,0.9908
015f5379a415617e,negative,0.9924,0.9924,0.0051,0.0025
a02daa415a054a6f,negative,0.9939,0.9939,0.0031,0.003
