cache_key,label_name,confidence,prob_negative,prob_neutral,prob_positive
d95e6c4a57595034,positive,0.1531,0.0,0.0,0.1531
664cf198fe50ec7f,neutral,0.0,0.0,0.0,0.0
898ad20cba8384f6,neutral,0.0,0.0,0.0,0.0
fefe72acbb6f9b24,neutral,0.0,0.0,0.0,0.0
2e85fdf2875b3fe0,neutral,0.0,0.0,0.0,0.0
f779a53c0a4f6632,negative,0.296,0.296,0.0,0.0
3e66e76c254788f5,neutral,0.0,0.0,0.0,0.0
be9e00ef9244fe14,neutral,0.0,0.0,0.0,0.0
3d3f0527e1400dbe,negative,0.2263,0.2263,0.0,0.0
ef00d2fe8d84a183,neutral,0.0,0.0,0.0,0.0
4474932521fe9e18,negative,0.296,0.296,0.0,0.0
94e7d94145374deb,positive,0.296,0.0,0.0,0.296
166419130dd1d00e,negative,0.1779,0.1779,0.0,0.0
cc7f232e701af80b,negative,0.296,0.296,0.0,0.0
69589eee1a7fe633,neutral,0.0,0.0,0.0,0.0
4ed24bea9d8b49b8,neutral,0.0,0.0,0.0,0.0
0fae02c9e1803412,negative,0.3182,0.3182,0.0,0.0
751e0b66e4259814,negative,0.3182,0.3182,0.0,0.0
b5f2001e6ec81621,neutral,0.0,0.0,0.0,0.0
c8a6cb8f54fece45,negative,0.197,0.197,0.0,0.0
08d7dd39d5be7db9,neutral,0.0,0.0,0.0,0.0
5b23642acfeea4b8,neutral,0.0,0.0,0.0,0.0
d614bede3433f54e,neutral,0.0,0.0,0.0,0.0
55ab4621ad1e17b0,negative,0.296,0.296,0.0,0.0
d32fea2d765a7424,neutral,0.0,0.0,0.0,0.0
94c980f4a62073ee,negative,0.1779,0.1779,0.0,0.0
7938291c769f27d9,negative,0.1779,0.1779,0.0,0.0
4c2570fcfb391f83,negative,0.197,0.197,0.0,0.0
ae3f24fe65ba5678,neutral,0.0,0.0,0.0,0.0
262fe0537a391dcd,neutral,0.0,0.0,0.0,0.0
0796438d9f0c3a96,neutral,0.0,0.0,0.0,0.0
6eecc11c2eeed69a,negative,0.197,0.197,0.0,0.0
cf1de4e133d77e60,neutral,0.0,0.0,0.0,0.0
ae0084a778f62b27,negative,0.296,0.296,0.0,0.0
9effbf98f71c0688,negative,0.197,0.197,0.0,0.0
90b171179c5fe79b,neutral,0.0,0.0,0.0,0.0
942a1ccd2dea0c50,neutral,0.0,0.0,0.0,0.0
6bdfebdc7d877334,negative,0.3182,0.3182,0.0,0.0
f64522748d758237,positive,0.1779,0.0,0.0,0.1779
c851dffa9e6c40db,negative,0.1779,0.1779,0.0,0.0
3d46675fa38b8f6f,positive,0.296,0.0,0.0,0.296
69863b008bd89dce,neutral,0.0,0.0,0.0,0.0
e4349fff53313007,positive,0.296,0.0,0.0,0.296
a468a4504d46c0ae,negative,0.1779,0.1779,0.0,0.0
88d1196f45be6696,positive,0.296,0.0,0.0,0.296
f99eb272c5d87513,negative,0.296,0.296,0.0,0.0
f3eb344c4232bcc1,negative,0.296,0.296,0.0,0.0
b03e53b839844199,positive,0.1779,0.0,0.0,0.1779
1fcaed952e87f5c2,positive,0.1779,0.0,0.0,0.1779
145d22ba1a312631,negative,0.2263,0.2263,0.0,0.0
e8ae83d40fa6155d,positive,0.296,0.0,0.0,0.296
fbbd992f2992389e,negative,0.296,0.296,0.0,0.0
6900aa98746fec58,positive,0.296,0.0,0.0,0.296
64e9804141f26293,neutral,0.0,0.0,0.0,0.0
511dc46ea9354540,negative,0.3182,0.3182,0.0,0.0
e86b24e8e46adc32,positive,0.296,0.0,0.0,0.296
165953df859d202b,positive,0.1779,0.0,0.0,0.1779
d8e985ce5643a6d4,neutral,0.0,0.0,0.0,0.0
aef4ad6b9bd60937,neutral,0.0,0.0,0.0,0.0
c1be8d0e9f72bf0a,negative,0.2263,0.2263,0.0,0.0
02b723c24c1e881c,negative,0.197,0.197,0.0,0.0
532aa7fa35d0b26d,neutral,0.0,0.0,0.0,0.0
d72f96740cea3e9f,neutral,0.0,0.0,0.0,0.0
7e14509438b22cd8,positive,0.296,0.0,0.0,0.296
b75afc2c08c55696,positive,0.3818,0.0,0.0,0.3818
be9aebd7ae7eb182,negative,0.3182,0.3182,0.0,0.0
d820b3c17b7d414a,neutral,0.0,0.0,0.0,0.0
a4b05aee941396cc,neutral,0.0,0.0,0.0,0.0
b9d2e665afc55d83,positive,0.296,0.0,0.0,0.296
debb95c12f32a84f,negative,0.197,0.197,0.0,0.0
313518f9b5d5d06b,positive,0.3818,0.0,0.0,0.3818
c54eacff0717737c,neutral,0.0,0.0,0.0,0.0
d314f23b82feac14,neutral,0.0,0.0,0.0,0.0
0829f86c4ae7d406,neutral,0.0,0.0,0.0,0.0
05a929b30e17ccb0,neutral,0.0,0.0,0.0,0.0
d330a5c72da1ba5d,positive,0.296,0.0,0.0,0.296
ec87b86fb5ce6367,neutral,0.0,0.0,0.0,0.0
5779155c975ba253,positive,0.3818,0.0,0.0,0.3818
6140baba8ace9e8c,neutral,0.0,0.0,0.0,0.0
c94956f1abd1db1b,negative,0.3182,0.3182,0.0,0.0
b4d344ac9a0fe013,neutral,0.0,0.0,0.0,0.0
b57416bd3e8e4427,positive,0.3818,0.0,0.0,0.3818
0d634b93087383f8,neutral,0.0,0.0,0.0,0.0
67269befb59ab918,neutral,0.0,0.0,0.0,0.0
201e70f1ac0573b5,positive,0.1779,0.0,0.0,0.1779
ee1b09cf3d09f2a3,negative,0.197,0.197,0.0,0.0
29f242ee0f26c603,negative,0.1779,0.1779,0.0,0.0
4b1d6d1d3c459886,neutral,0.0,0.0,0.0,0.0
0baf95a287de82a0,neutral,0.0,0.0,0.0,0.0
f0e006970aaff0bb,neutral,0.0,0.0,0.0,0.0
66bcba6c21eceff0,positive,0.3818,0.0,0.0,0.3818
883b5ea9a193a99d,negative,0.1779,0.1779,0.0,0.0
4d18a227ef25e78b,neutral,0.0,0.0,0.0,0.0
c61dacaf815530ff,neutral,0.0,0.0,0.0,0.0
dbc859a53f1eeacb,neutral,0.0,0.0,0.0,0.0
c8bd8259a7f96889,negative,0.197,0.197,0.0,0.0
8dd26d866660ab63,positive,0.1779,0.0,0.0,0.1779
cb201ceb6aaf3ce4,negative,0.2263,0.2263,0.0,0.0
b75262a1c32416d6,positive,0.1779,0.0,0.0,0.1779
ed6e15b4e0721056,neutral,0.0,0.0,0.0,0.0
25e5d70914d60e28,neutral,0.0,0.0,0.0,0.0
2bae7e1ba042d776,neutral,0.0,0.0,0.0,0.0
abde2087c08558ce,positive,0.3818,0.0,0.0,0.3818
4f493c3ee8b62e76,positive,0.3818,0.0,0.0,0.3818
0649fe9f75a6bcee,negative,0.1779,0.1779,0.0,0.0
6b8698640fdfcc70,neutral,0.0,0.0,0.0,0.0
e6d841d95fdc2b06,neutral,0.0,0.0,0.0,0.0
933bf170716fa0e7,neutral,0.0,0.0,0.0,0.0
69d1d9f8a884c99d,neutral,0.0,0.0,0.0,0.0
696129d33094cd45,positive,0.1779,0.0,0.0,0.1779
63f856a373942a90,neutral,0.0,0.0,0.0,0.0
5e1fdd19c626d113,negative,0.1779,0.1779,0.0,0.0
096feee45a6498bc,neutral,0.0,0.0,0.0,0.0
7c9f07a0b877f79a,neutral,0.0,0.0,0.0,0.0
3c324c25a5f1e5ae,negative,0.2263,0.2263,0.0,0.0
d0964e3dd7de66a9,negative,0.2263,0.2263,0.0,0.0
997cdda5d40f4c05,negative,0.1779,0.1779,0.0,0.0
5e77b15fdde45b90,positive,0.3818,0.0,0.0,0.3818
7105d1bf0909dfd1,negative,0.3182,0.3182,0.0,0.0
6bc134beafdea2d8,positive,0.3818,0.0,0.0,0.3818
9c814801d4448268,neutral,0.0,0.0,0.0,0.0
f7c6466889144733,neutral,0.0,0.0,0.0,0.0
a27fc83f32f68521,negative,0.2263,0.2263,0.0,0.0
9e2311dd34da16fa,negative,0.3182,0.3182,0.0,0.0
a3444a995433de91,neutral,0.0,0.0,0.0,0.0
075f9f5a1c25ae31,negative,0.3182,0.3182,0.0,0.0
34fc35aa79a39501,neutral,0.0,0.0,0.0,0.0
2fce9d39b277ee81,neutral,0.0,0.0,0.0,0.0
cfc42e8014b19de2,positive,0.1779,0.0,0.0,0.1779
61d9ba92071f1707,positive,0.3818,0.0,0.0,0.3818
8e978b45d2358edb,neutral,0.0,0.0,0.0,0.0
bdf1fa2cdf9aaeb6,neutral,0.0,0.0,0.0,0.0
1ac153301d94e6fa,neutral,0.0,0.0,0.0,0.0
137f569de60795ea,neutral,0.0,0.0,0.0,0.0
c932aa801357f772,negative,0.296,0.296,0.0,0.0
3f024c3374ed97e0,negative,0.197,0.197,0.0,0.0
31d37fae3536afbd,negative,0.3182,0.3182,0.0,0.0
2b3d5f5eb1f37dda,negative,0.2263,0.2263,0.0,0.0
04b1a1a997431187,negative,0.197,0.197,0.0,0.0
4e83e2571cd6c0f5,neutral,0.0,0.0,0.0,0.0
50f9ccde12c24d69,neutral,0.0,0.0,0.0,0.0
65ebda077d335003,negative,0.2263,0.2263,0.0,0.0
edced8968b80de19,neutral,0.0,0.0,0.0,0.0
55345fa1266ffbd1,neutral,0.0,0.0,0.0,0.0
aed27a9e1dc4e695,neutral,0.0,0.0,0.0,0.0
6796720cecb9cbb6,neutral,0.0,0.0,0.0,0.0
84e4090146249e59,neutral,0.0,0.0,0.0,0.0
0ababb1d64b7ae0f,neutral,0.0,0.0,0.0,0.0
4f684f0035607bab,neutral,0.0,0.0,0.0,0.0
7c83eaac284c6429,positive,0.3818,0.0,0.0,0.3818
b36b970d0fdad4a1,positive,0.3818,0.0,0.0,0.3818
6ad833e8d8b40743,neutral,0.0,0.0,0.0,0.0
2bb9efd545a5781d,neutral,0.0,0.0,0.0,0.0
58cec09e334512a1,neutral,0.0,0.0,0.0,0.0
c718b875a5a7c22e,neutral,0.0,0.0,0.0,0.0
422cf59a7a5f73ad,neutral,0.0,0.0,0.0,0.0
294dd05fb170b914,neutral,0.0,0.0,0.0,0.0
0fca9307e25a6b44,positive,0.5106,0.0,0.0,0.5106
2c3b2f9dab9681bc,positive,0.5106,0.0,0.0,0.5106
9eb1489f11b52447,neutral,0.0,0.0,0.0,0.0
7fb715f7690c3bd7,positive,0.3818,0.0,0.0,0.3818
7bac4c4b3ef68a72,positive,0.3818,0.0,0.0,0.3818
abecf58c097c8f3d,neutral,0.0,0.0,0.0,0.0
4da7c74625ae6fc3,neutral,0.0,0.0,0.0,0.0
f38ddf4e95752726,neutral,0.0,0.0,0.0,0.0
e626cd4bea8e1183,neutral,0.0,0.0,0.0,0.0
0bd3faa2743d5ea3,neutral,0.0,0.0,0.0,0.0
b9640848e3384775,neutral,0.0,0.0,0.0,0.0
ddc7c046c336c624,positive,0.4215,0.0,0.0,0.4215
5edec2ed5029c27f,neutral,0.0,0.0,0.0,0.0
601e3b9c8c1455ec,positive,0.4215,0.0,0.0,0.4215
3f5995e203d38975,neutral,0.0,0.0,0.0,0.0
8b4949e7d62f984e,positive,0.5106,0.0,0.0,0.5106
6ea8323b71ed45fe,positive,0.5106,0.0,0.0,0.5106
b2c5a6a74128650a,positive,0.347,0.0,0.0,0.347
aacb94d45ffc14c5,positive,0.347,0.0,0.0,0.347
e7c30d8903172472,neutral,0.0,0.0,0.0,0.0
606bde5a5314d644,neutral,0.0,0.0,0.0,0.0
d23e5068d23549c4,neutral,0.0,0.0,0.0,0.0
1898121c53750109,neutral,0.0,0.0,0.0,0.0
4fcb11ea74dab79f,neutral,0.0,0.0,0.0,0.0
aaa042eb3569bd6e,neutral,0.0,0.0,0.0,0.0
b824ef1c99a7a4cb,positive,0.5423,0.0,0.0,0.5423
159faffa1560f0eb,positive,0.5423,0.0,0.0,0.5423
0b25d908adaf0a06,neutral,0.0,0.0,0.0,0.0
75b9265bdbd142f8,neutral,0.0,0.0,0.0,0.0
091d8f87ad0c16ee,neutral,0.0,0.0,0.0,0.0
56421db5fb2da6df,neutral,0.0,0.0,0.0,0.0
074f520a2add167b,neutral,0.0,0.0,0.0,0.0
6a2c7147f592fc7c,neutral,0.0,0.0,0.0,0.0
b246b0fbb21bd900,neutral,0.0,0.0,0.0,0.0
39b628120029f71f,neutral,0.0,0.0,0.0,0.0
df3d6a52eb301602,neutral,0.0,0.0,0.0,0.0
143028e73c6bfeb0,neutral,0.0,0.0,0.0,0.0
b1c07ad40b8fcda7,neutral,0.0,0.0,0.0,0.0
f45117d91f39fa10,neutral,0.0,0.0,0.0,0.0
739e82a6ffb0ced3,neutral,0.0,0.0,0.0,0.0
bbc858caa18ed71d,neutral,0.0,0.0,0.0,0.0
