model,period,scenario,annualised_return,sharpe_ratio,max_drawdown,win_rate,ic,avg_turnover,trade_count,participation_proxy_mean,hold_days,quantile_cutoff,confidence_threshold,variant,regime_filter
vader,2026Q1,ablation_sentiment,-0.9897,0.0,0.0,0.0,,,8,,2,0.25,0.75,sentiment,False
vader,2026Q1,ablation_ensemble,-0.4712,-1.3726,-0.1528,0.4375,0.045,,40,,2,0.25,0.75,ensemble,False
vader,2026Q1,ablation_ensemble_regime,-0.4712,-1.3726,-0.1528,0.4375,0.045,,40,,2,0.25,0.75,ensemble,True
finbert,2025Q2,ablation_ensemble,10367.3692,0.0,0.0,1.0,,,2,,1,0.15,0.6,ensemble,False
finbert,2025Q2,ablation_ensemble_regime,10367.3692,0.0,0.0,1.0,,,2,,1,0.15,0.6,ensemble,True
finbert,2025Q3,ablation_ensemble,-0.8756,0.0,0.0,0.0,,,2,,2,0.15,0.6,ensemble,False
finbert,2025Q3,ablation_ensemble_regime,-0.8756,0.0,0.0,0.0,,,2,,2,0.15,0.6,ensemble,True
finbert,2025Q4,ablation_sentiment,-0.8637,-14.205,-0.1167,0.1875,-0.1071,,272,,1,0.15,0.6,sentiment,False
finbert,2025Q4,ablation_ensemble,-0.5698,-8.2178,-0.0633,0.375,0.0086,,272,,1,0.15,0.6,ensemble,False
finbert,2025Q4,ablation_ensemble_regime,-0.5698,-8.2178,-0.0633,0.375,0.0086,,272,,1,0.15,0.6,ensemble,True
finbert,2026Q1,ablation_sentiment,-0.6151,-6.3014,-0.1576,0.3878,-0.0027,,804,,1,0.15,0.75,sentiment,False
finbert,2026Q1,ablation_ensemble,-0.4897,-4.7211,-0.1353,0.4286,0.0634,,804,,1,0.15,0.75,ensemble,False
finbert,2026Q1,ablation_ensemble_regime,-0.4726,-4.55,-0.1342,0.4286,0.0634,,804,,1,0.15,0.75,ensemble,True
