model,scenario,annualised_return,sharpe_ratio,max_drawdown,win_rate,trade_count,avg_turnover,ic,ic_stability,oos_fold_count,pct_positive_oos_folds,break_even_cost_bps,data_coverage_ratio
finbert,cost_0.0bps,0.1854,0.8674,-0.072,0.5224,1080,,0.036,0.0387494516090228,4,0.25,0.0,1.0
finbert,cost_7.5bps,-0.1877,-1.518,-0.1044,0.4925,1080,,0.036,0.0387494516090228,4,0.0,0.0,1.0
finbert,baseline,-0.2967,-2.796,-0.082,0.4545,740,,-0.0018000000000000013,0.032102647865869256,2,0.0,0.0,1.0
finbert,improved,-0.4438,-3.9041,-0.1816,0.4179,1080,,0.036,0.0387494516090228,4,0.0,0.0,1.0
finbert,cost_15.0bps,-0.4438,-3.9041,-0.1816,0.4179,1080,,0.036,0.0387494516090228,4,0.0,0.0,1.0
finbert,cost_30.0bps,-0.7396,-8.6754,-0.324,0.2836,1080,,0.036,0.0387494516090228,4,0.0,0.0,1.0
vader,cost_0.0bps,-0.2271,-0.4987,-0.137,0.4375,40,,0.045,,1,0.0,0.0,1.0
vader,cost_7.5bps,-0.3606,-0.9356,-0.1449,0.4375,40,,0.045,,1,0.0,0.0,1.0
vader,improved_no_regime_uplift,-0.4712,-1.3726,-0.1528,0.4375,40,,0.045,,1,0.0,0.0,1.0
vader,cost_15.0bps,-0.4712,-1.3726,-0.1528,0.4375,40,,0.045,,1,0.0,0.0,1.0
vader,baseline,-0.0446,-1.4826,-0.0199,0.5,20,,0.0936,,1,0.0,0.0,1.0
vader,cost_30.0bps,-0.6387,-2.2465,-0.1683,0.4375,40,,0.045,,1,0.0,0.0,1.0
