keyword,event_count,avg_CAR,std_CAR,positive_pct
cik 0001318605,52,0.010811,0.081615,0.3846
cik 0001326801,70,0.004012,0.070512,0.6286
upgraded,44,0.003782,0.05035,0.4545
canadian derivatives,84,0.000842,0.041603,0.4286
derivatives,84,0.000842,0.041603,0.4286
cik 0000319643,84,0.000842,0.041603,0.4286
clearing,84,0.000842,0.041603,0.4286
derivatives clearing,84,0.000842,0.041603,0.4286
canadian,84,0.000842,0.041603,0.4286
guidance,62,0.000164,0.047105,0.4677
faces,74,-0.000473,0.037127,0.4865
investigation,73,-0.000612,0.037361,0.4795
amjb,110,-0.001124,0.031831,0.4909
cik 0000019617,110,-0.001124,0.031831,0.4909
trust,244,-0.002312,0.031004,0.4221
earnings,60,-0.002984,0.033449,0.4833
filing,1410,-0.003011,0.044596,0.4553
item,1410,-0.003011,0.044596,0.4553
02 filing,705,-0.003011,0.044596,0.4553
01 filing,705,-0.003011,0.044596,0.4553
goog,141,-0.003752,0.037711,0.4113
cik 0001652044,74,-0.004745,0.03872,0.4324
cik 0000789019,52,-0.004757,0.040012,0.3846
programme,74,-0.005615,0.033486,0.4189
auto,130,-0.006864,0.031294,0.2769
bridgecrest,130,-0.006864,0.031294,0.2769
cik 0001018724,66,-0.009698,0.068659,0.3939
adbe,72,-0.015125,0.042658,0.4167
adobe,72,-0.015125,0.042658,0.4167
cik 0000796343,72,-0.015125,0.042658,0.4167
cik 0001045810,52,-0.01822,0.068834,0.3077
