period,start,end,n_signal_days,n_tickers,sharpe,annualised_return,max_drawdown,hit_rate,ic_mean,ic_t_stat
2022Q1,2022-01-01,2022-03-31,0,10,,,,,,
2022Q2,2022-04-01,2022-06-30,0,10,,,,,,
2022Q3,2022-07-01,2022-09-30,1,9,0.0,-0.8386,0.0,0.5,,
2022Q4,2022-10-01,2022-12-31,0,8,,,,,,
2024Q1,2024-01-01,2024-03-31,0,6,,,,,,
2024Q2,2024-04-01,2024-06-30,0,10,,,,,,
2024Q3,2024-07-01,2024-09-30,0,7,,,,,,
2024Q4,2024-10-01,2024-12-31,0,7,,,,,,
2025Q1,2025-01-01,2025-03-31,1,10,0.0,8.2666,0.0,0.5,0.71429,
2025Q2,2025-04-01,2025-06-30,1,9,0.0,42624.9053,0.0,1.0,,
2025Q3,2025-07-01,2025-09-30,1,10,0.0,1.9383,0.0,0.5,0.31429,
2025Q4,2025-10-01,2025-12-31,8,74,-3.3074,-0.2639,-0.0348,0.4138,-0.12255,-2.734
2026Q1,2026-01-01,2026-03-31,24,100,1.536,0.4529,-0.057,0.5432,0.05551,1.886
