total_return,annualised_return,annualised_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,ic,ic_p_value,hit_rate,n_periods,rebalance_periods,hold_days,quantile_cutoff,weighting,signal_col,avg_gross_exposure,avg_turnover,avg_positions_per_side,label,variant,weights
-0.0039,-0.0135,0.2857,-0.0709,-0.4858,-0.0682,-0.1976,0.3889,-0.023,0.5401,0.4902,36,214,2,0.2,equal,combined_score,2.0,1.2553,9.9,A_baseline|S100,A_baseline,S100
0.0849,0.3301,0.2219,1.1888,3.487,7.3366,-0.045,0.4722,0.0579,0.1223,0.5126,36,214,2,0.2,equal,combined_score,2.0,1.268,9.9,A_baseline|S70+M30,A_baseline,S70+M30
-0.1416,-0.4139,0.2873,-1.8745,-3.165,-1.5642,-0.2646,0.3333,-0.0565,0.1315,0.4832,36,214,2,0.2,equal,combined_score,2.0,1.0192,9.9,A_baseline|S60+V40,A_baseline,S60+V40
-0.2154,-0.5721,0.2292,-3.7731,-3.0878,-2.2991,-0.2488,0.3889,0.0119,0.7503,0.4986,36,214,2,0.2,equal,combined_score,2.0,1.123,9.9,A_baseline|S60+L40,A_baseline,S60+L40
0.0729,0.2791,0.2536,0.9146,2.0921,3.416,-0.0817,0.4722,0.0189,0.6142,0.4958,36,214,2,0.2,equal,combined_score,2.0,1.1175,9.9,A_baseline|S50+M30+V20,A_baseline,S50+M30+V20
-0.1287,-0.3827,0.2783,-1.7581,-2.8847,-1.6241,-0.2356,0.4167,-0.0135,0.7181,0.4762,36,214,2,0.2,equal,combined_score,2.0,1.0715,9.9,A_baseline|S50+M20+V30,A_baseline,S50+M20+V30
0.063,0.2385,0.2484,0.7987,1.7801,3.1045,-0.0768,0.5278,0.0198,0.5977,0.5098,36,214,2,0.2,equal,combined_score,2.0,1.086,9.9,A_baseline|S40+M30+V20+L10,A_baseline,S40+M30+V20+L10
0.0364,0.1334,0.2624,0.4294,1.0179,0.9875,-0.1351,0.4722,-0.0054,0.8859,0.4902,36,214,2,0.2,equal,combined_score,2.0,1.096,9.9,A_baseline|S40+M20+V20+L20,A_baseline,S40+M20+V20+L20
0.118,0.4777,0.24,1.5564,3.6182,8.556,-0.0558,0.5833,0.031,0.4085,0.5196,36,214,2,0.2,equal,combined_score,2.0,1.0289,9.9,A_baseline|S40+M40+V20,A_baseline,S40+M40+V20
0.1606,0.6844,0.2567,1.9821,4.9905,12.1983,-0.0561,0.5556,0.0408,0.276,0.5126,36,214,2,0.2,equal,combined_score,2.0,0.9374,9.9,A_baseline|S30+M50+V20,A_baseline,S30+M50+V20
-0.107,-0.327,0.2749,-1.4706,-2.8202,-1.4292,-0.2288,0.3611,-0.0267,0.4756,0.4832,36,214,2,0.2,equal,combined_score,2.0,0.9393,9.9,A_baseline|S40+M20+V40,A_baseline,S40+M20+V40
0.0145,0.0517,0.2257,0.1327,0.0529,0.4829,-0.107,0.5,0.0102,0.7853,0.5028,36,214,2,0.2,equal,combined_score,2.0,0.9663,9.9,A_baseline|S33+M33+V34,A_baseline,S33+M33+V34
-0.0767,-0.2437,0.2223,-1.3508,-2.4587,-1.2748,-0.1911,0.3611,-0.0244,0.5152,0.4944,36,214,2,0.2,equal,combined_score,2.0,1.2273,9.9,B_conf_weighted|S100,B_conf_weighted,S100
0.0676,0.2571,0.2259,0.9215,2.6164,4.7931,-0.0536,0.4167,0.0492,0.1889,0.514,36,214,2,0.2,equal,combined_score,2.0,1.2493,9.9,B_conf_weighted|S70+M30,B_conf_weighted,S70+M30
-0.1382,-0.4059,0.2991,-1.7448,-3.2258,-1.5404,-0.2635,0.3889,-0.0615,0.1004,0.4804,36,214,2,0.2,equal,combined_score,2.0,1.0143,9.9,B_conf_weighted|S60+V40,B_conf_weighted,S60+V40
-0.2111,-0.5638,0.2293,-3.6897,-3.0342,-2.3336,-0.2416,0.3889,0.0134,0.7216,0.4986,36,214,2,0.2,equal,combined_score,2.0,1.104,9.9,B_conf_weighted|S60+L40,B_conf_weighted,S60+L40
0.0904,0.3539,0.258,1.1241,2.5676,4.184,-0.0846,0.4722,0.0216,0.5641,0.5028,36,214,2,0.2,equal,combined_score,2.0,1.1069,9.9,B_conf_weighted|S50+M30+V20,B_conf_weighted,S50+M30+V20
-0.1223,-0.3665,0.2845,-1.6233,-2.7385,-1.5407,-0.2379,0.3889,-0.0133,0.7224,0.4762,36,214,2,0.2,equal,combined_score,2.0,1.0646,9.9,B_conf_weighted|S50+M20+V30,B_conf_weighted,S50+M20+V30
0.0617,0.233,0.2593,0.7584,1.5215,2.6227,-0.0888,0.5278,0.0201,0.5911,0.5112,36,214,2,0.2,equal,combined_score,2.0,1.0655,9.9,B_conf_weighted|S40+M30+V20+L10,B_conf_weighted,S40+M30+V20+L10
0.0635,0.2406,0.2587,0.7819,2.2263,2.2023,-0.1093,0.5,-0.0052,0.8905,0.4916,36,214,2,0.2,equal,combined_score,2.0,1.0765,9.9,B_conf_weighted|S40+M20+V20+L20,B_conf_weighted,S40+M20+V20+L20
0.1072,0.428,0.2508,1.3628,3.2845,6.5612,-0.0652,0.5833,0.031,0.4083,0.5098,36,214,2,0.2,equal,combined_score,2.0,1.0036,9.9,B_conf_weighted|S40+M40+V20,B_conf_weighted,S40+M40+V20
